item0,0.99,desc0,
item1,1.99,desc1,
item2,2.99,desc2,
item3,3.99,desc3,
item4,4.99,desc4,
item5,5.99,desc5,
item6,6.99,desc6,
item7,7.99,desc7,
item8,8.99,desc8,
item9,9.99,desc9,
item10,10.99,desc10,
item11,11.99,desc11,
item12,12.99,desc12,
item13,13.99,desc13,
item14,14.99,desc14,
item15,15.99,desc15,
item16,16.99,desc16,
item17,17.99,desc17,
item18,18.99,desc18,
item19,19.99,desc19,
item20,20.99,desc20,
item21,21.99,desc21,
item22,22.99,desc22,
item23,23.99,desc23,
item24,24.99,desc24,
item25,25.99,desc25,
item26,26.99,desc26,
item27,27.99,desc27,
item28,28.99,desc28,
item29,29.99,desc29,
item30,30.99,desc30,
item31,31.99,desc31,
item32,32.99,desc32,
item33,33.99,desc33,
item34,34.99,desc34,
item35,35.99,desc35,
item36,36.99,desc36,
item37,37.99,desc37,
item38,38.99,desc38,
item39,39.99,desc39,
item40,40.99,desc40,
item41,41.99,desc41,
item42,42.99,desc42,
item43,43.99,desc43,
item44,44.99,desc44,
item45,45.99,desc45,
item46,46.99,desc46,
item47,47.99,desc47,
item48,48.99,desc48,
item49,49.99,desc49,
item50,50.99,desc50,
item51,51.99,desc51,
item52,52.99,desc52,
item53,53.99,desc53,
item54,54.99,desc54,
item55,55.99,desc55,
item56,56.99,desc56,
item57,57.99,desc57,
item58,58.99,desc58,
item59,59.99,desc59,
item60,60.99,desc60,
item61,61.99,desc61,
item62,62.99,desc62,
item63,63.99,desc63,
item64,64.99,desc64,
item65,65.99,desc65,
item66,66.99,desc66,
item67,67.99,desc67,
item68,68.99,desc68,
item69,69.99,desc69,
item70,70.99,desc70,
item71,71.99,desc71,
item72,72.99,desc72,
item73,73.99,desc73,
item74,74.99,desc74,
item75,75.99,desc75,
item76,76.99,desc76,
item77,77.99,desc77,
item78,78.99,desc78,
item79,79.99,desc79,
item80,80.99,desc80,
item81,81.99,desc81,
item82,82.99,desc82,
item83,83.99,desc83,
item84,84.99,desc84,
item85,85.99,desc85,
item86,86.99,desc86,
item87,87.99,desc87,
item88,88.99,desc88,
item89,89.99,desc89,
item90,90.99,desc90,
item91,91.99,desc91,
item92,92.99,desc92,
item93,93.99,desc93,
item94,94.99,desc94,
item95,95.99,desc95,
item96,96.99,desc96,
item97,97.99,desc97,
item98,98.99,desc98,
item99,99.99,desc99,
item100,0.99,desc100,
item101,1.99,desc101,
item102,2.99,desc102,
item103,3.99,desc103,
item104,4.99,desc104,
item105,5.99,desc105,
item106,6.99,desc106,
item107,7.99,desc107,
item108,8.99,desc108,
item109,9.99,desc109,
item110,10.99,desc110,
item111,11.99,desc111,
item112,12.99,desc112,
item113,13.99,desc113,
item114,14.99,desc114,
item115,15.99,desc115,
item116,16.99,desc116,
item117,17.99,desc117,
item118,18.99,desc118,
item119,19.99,desc119,
item120,20.99,desc120,
item121,21.99,desc121,
item122,22.99,desc122,
item123,23.99,desc123,
item124,24.99,desc124,
item125,25.99,desc125,
item126,26.99,desc126,
item127,27.99,desc127,
item128,28.99,desc128,
item129,29.99,desc129,
item130,30.99,desc130,
item131,31.99,desc131,
item132,32.99,desc132,
item133,33.99,desc133,
item134,34.99,desc134,
item135,35.99,desc135,
item136,36.99,desc136,
item137,37.99,desc137,
item138,38.99,desc138,
item139,39.99,desc139,
item140,40.99,desc140,
item141,41.99,desc141,
item142,42.99,desc142,
item143,43.99,desc143,
item144,44.99,desc144,
item145,45.99,desc145,
item146,46.99,desc146,
item147,47.99,desc147,
item148,48.99,desc148,
item149,49.99,desc149,
item150,50.99,desc150,
item151,51.99,desc151,
item152,52.99,desc152,
item153,53.99,desc153,
item154,54.99,desc154,
item155,55.99,desc155,
item156,56.99,desc156,
item157,57.99,desc157,
item158,58.99,desc158,
item159,59.99,desc159,
item160,60.99,desc160,
item161,61.99,desc161,
item162,62.99,desc162,
item163,63.99,desc163,
item164,64.99,desc164,
item165,65.99,desc165,
item166,66.99,desc166,
item167,67.99,desc167,
item168,68.99,desc168,
item169,69.99,desc169,
item170,70.99,desc170,
item171,71.99,desc171,
item172,72.99,desc172,
item173,73.99,desc173,
item174,74.99,desc174,
item175,75.99,desc175,
item176,76.99,desc176,
item177,77.99,desc177,
item178,78.99,desc178,
item179,79.99,desc179,
item180,80.99,desc180,
item181,81.99,desc181,
item182,82.99,desc182,
item183,83.99,desc183,
item184,84.99,desc184,
item185,85.99,desc185,
item186,86.99,desc186,
item187,87.99,desc187,
item188,88.99,desc188,
item189,89.99,desc189,
item190,90.99,desc190,
item191,91.99,desc191,
item192,92.99,desc192,
item193,93.99,desc193,
item194,94.99,desc194,
item195,95.99,desc195,
item196,96.99,desc196,
item197,97.99,desc197,
item198,98.99,desc198,
item199,99.99,desc199,
item200,0.99,desc200,
item201,1.99,desc201,
item202,2.99,desc202,
item203,3.99,desc203,
item204,4.99,desc204,
item205,5.99,desc205,
item206,6.99,desc206,
item207,7.99,desc207,
item208,8.99,desc208,
item209,9.99,desc209,
item210,10.99,desc210,
item211,11.99,desc211,
item212,12.99,desc212,
item213,13.99,desc213,
item214,14.99,desc214,
item215,15.99,desc215,
item216,16.99,desc216,
item217,17.99,desc217,
item218,18.99,desc218,
item219,19.99,desc219,
item220,20.99,desc220,
item221,21.99,desc221,
item222,22.99,desc222,
item223,23.99,desc223,
item224,24.99,desc224,
item225,25.99,desc225,
item226,26.99,desc226,
item227,27.99,desc227,
item228,28.99,desc228,
item229,29.99,desc229,
item230,30.99,desc230,
item231,31.99,desc231,
item232,32.99,desc232,
item233,33.99,desc233,
item234,34.99,desc234,
item235,35.99,desc235,
item236,36.99,desc236,
item237,37.99,desc237,
item238,38.99,desc238,
item239,39.99,desc239,
item240,40.99,desc240,
item241,41.99,desc241,
item242,42.99,desc242,
item243,43.99,desc243,
item244,44.99,desc244,
item245,45.99,desc245,
item246,46.99,desc246,
item247,47.99,desc247,
item248,48.99,desc248,
item249,49.99,desc249,
item250,50.99,desc250,
item251,51.99,desc251,
item252,52.99,desc252,
item253,53.99,desc253,
item254,54.99,desc254,
item255,55.99,desc255,
item256,56.99,desc256,
item257,57.99,desc257,
item258,58.99,desc258,
item259,59.99,desc259,
item260,60.99,desc260,
item261,61.99,desc261,
item262,62.99,desc262,
item263,63.99,desc263,
item264,64.99,desc264,
item265,65.99,desc265,
item266,66.99,desc266,
item267,67.99,desc267,
item268,68.99,desc268,
item269,69.99,desc269,
item270,70.99,desc270,
item271,71.99,desc271,
item272,72.99,desc272,
item273,73.99,desc273,
item274,74.99,desc274,
item275,75.99,desc275,
item276,76.99,desc276,
item277,77.99,desc277,
item278,78.99,desc278,
item279,79.99,desc279,
item280,80.99,desc280,
item281,81.99,desc281,
item282,82.99,desc282,
item283,83.99,desc283,
item284,84.99,desc284,
item285,85.99,desc285,
item286,86.99,desc286,
item287,87.99,desc287,
item288,88.99,desc288,
item289,89.99,desc289,
item290,90.99,desc290,
item291,91.99,desc291,
item292,92.99,desc292,
item293,93.99,desc293,
item294,94.99,desc294,
item295,95.99,desc295,
item296,96.99,desc296,
item297,97.99,desc297,
item298,98.99,desc298,
item299,99.99,desc299,
item300,0.99,desc300,
item301,1.99,desc301,
item302,2.99,desc302,
item303,3.99,desc303,
item304,4.99,desc304,
item305,5.99,desc305,
item306,6.99,desc306,
item307,7.99,desc307,
item308,8.99,desc308,
item309,9.99,desc309,
item310,10.99,desc310,
item311,11.99,desc311,
item312,12.99,desc312,
item313,13.99,desc313,
item314,14.99,desc314,
item315,15.99,desc315,
item316,16.99,desc316,
item317,17.99,desc317,
item318,18.99,desc318,
item319,19.99,desc319,
item320,20.99,desc320,
item321,21.99,desc321,
item322,22.99,desc322,
item323,23.99,desc323,
item324,24.99,desc324,
item325,25.99,desc325,
item326,26.99,desc326,
item327,27.99,desc327,
